title,authors,doi,year,abstract
"New Opportunities, Challenges, and Applications of Edge-AI for Connected Healthcare in Smart Cities",M. M. Kamruzzaman,10.1109/GCWkshps52748.2021.9682055,2021,"Revolution in healthcare can be experienced with the advancement of smart sensorial things, Artificial Intelligence (AI), Machine Learning (ML), Deep Learning (DL), edge analytics with the integration of cloud computing; and connected healthcare is receiving extraordinary contemplation from the industry, government, and the healthcare communities. In this study, several studies are selected published in the last 6 years from 2016 to 2021 The selection process is represented through the Prisma flow chart. It has been identified that these increasing challenges of healthcare can be overcome by the implication of AI, ML, DL, Edge AI, IoT, 6G, and cloud computing. Still, limited areas have implicated these latest advancements and also experienced improvements in the outcomes. These implications have shown successful results not only in resolving the issues from the perspective of the patient but also from the perspective a of healthcare professionals. It has been recommended that the different models which have been proposed in several studies must be validated further and implicated in different domains to validate the effectiveness of these models and to ensure that these models can be implicated in several regions effectively."
"Machine Learning and Deep Learning Approaches for Fake News Detection: A Systematic Review of Techniques, Challenges, and Advancements",O. Bashaddadh; N. Omar; M. Mohd; M. N. A. Khalid,10.1109/ACCESS.2025.3572051,2025,"In response to the escalating threat of fake news on social media, this systematic literature review analyzes recent advancements in machine learning and deep learning approaches for its automated detection. Following the PRISMA guidelines, we examined 90 peer-reviewed studies published between 2020 and 2024 to evaluate model effectiveness, identify limitations, and highlight emerging trends. Our analysis shows that deep learning models, particularly transformer-based architectures such as BERT, consistently outperform traditional machine learning methods, often achieving high accuracy (Acc), precision (P), recall (R), and F1-score (F1). For instance, a BERT-based model reported up to 99.9% accuracy on the Kaggle fake news dataset and above 98% on other public datasets, including ISOT, Fake-or-Real, and D3. Similarly, the GANM model demonstrated robust performance on the FakeNewsNet dataset by integrating text and social features. Transfer learning and multimodal models that incorporate user behaviour and network information significantly improve detection in diverse and low-resource environments. However, challenges persist in terms of dataset quality, model interpretability, domain generalisability, and real-time deployment. This review also underscores the limited adoption of few-shot and zero-shot learning techniques, highlighting a promising direction for future research on handling emerging misinformation with minimal training data. To support practical deployment, we advocate the development of explainable, multilingual, and lightweight models with a greater emphasis on human-centred evaluation and ethical considerations. Our findings provide a foundation for researchers and practitioners aiming to build scalable, trustworthy, and context-aware fake news detection systems for global use."
Algorithms and Approaches for the Vehicle Routing Problem with Pickup and Delivery (VRPPD): A Survey,R. Imam Muslem; M. K. M. Nasution; Sutarman; Suherman,10.1109/ICIC64337.2024.10956290,2024,"This systematic literature review (SLR) investigates recent advancements and trends in Vehicle Routing Problem with Pickup and Delivery (VRPPD), a crucial area in operations research and logistics. VRPPD optimization impacts operational costs, service quality, and environmental sustainability, especially with the growing demand from ecommerce. This review aims to address gaps in current literature, particularly focusing on real-time data integration, weather-related constraints, vehicle capacity, and sustainability. Utilizing the PRISMA methodology, 72 peer-reviewed articles from Scopus-indexed journals (2014-2024) were analyzed. The findings reveal significant progress in hybrid and metaheuristic algorithms, which combine multiple techniques to handle constraints like time windows, route efficiency, and fleet utilization. Despite these advancements, limited attention has been given to integrating weather data and dynamic constraints. The survey also highlights the need for more sustainable and real-time adaptive algorithms. Future research should explore multi-objective optimization, AI integration, and quantum computing to improve the efficiency and scalability of VRPPD solutions, especially in dynamic and high-demand environments such as e-commerce and logistics."
The Use of Artificial Intelligence in Diagnostic Medical Imaging: Systematic Literature Review,L. Hafizović; A. Čaušević; A. Deumić; L. S. Bećirović; L. G. Pokvić; A. Badnjević,10.1109/BIBE52308.2021.9635307,2021,"Diagnostic medical imaging and the interpretation of the imaging results pose a great challenge for the medical profession as the final conclusions are highly susceptible to human error and subjectivity. The necessity for standardization of interpretation of medical images is very necessary to bypass these problems. The only way of achieving this is using a methodology which excludes the human eye and employs artificial intelligence. However, another challenge is selecting the most suitable AI algorithm fit for the challenging task of imaging results interpretation. This study was conducted following PRISMA (Preferred Reporting Items for Systematic Reviews and Meta-Analyses) guidelines published in 2020. Research was done using PubMed, ScienceDirect and Google Scholar databases where the key inclusion criteria were language, journal credibility, open access to full-text publications and the most recent papers. In order to focus on only the most recent research, only the papers published in the last 5 years were evaluated. The search through PubMed, ScienceDirect and Google Scholar has yielded 81, 205, and 520 papers respectively. Out of this number of papers, 26 of them have met all of the inclusion criteria and were included in the research. The observed accuracies of the models and the overall rising interest in the topic denote that this field is rapidly growing and has a great potential to be applied in daily medical practice in the future."
The Adoption and Impact of AI by SMEs for New-Product Development,R. G. Cooper,10.1109/EMR.2024.3478479,2024,"Artificial Intelligence (AI) is transforming business, including new product development (NPD), yet smaller firms face challenges in adoption. This article presents findings from a survey of Irish SMEs (small and medium enterprises) conducted with the Industry Research Development Group (IRDG). Despite AI's potential, the study reveals low AI implementation across 13 NPD applications, but more positive intentions to adopt AI in the near future. Performance improvements from AI are modest, with an average of 27% improvement across five key metrics. Readiness to adopt AI for NPD, however, is weak with SMEs exhibiting low trust, limited senior management commitment, and minimal demonstrated value from AI. The article concludes with five managerial recommendations, emphasizing the urgency for SMEs to leverage AI to boost innovation, and provides a simple process map for AI deployment."
Development of a Framework for Metaverse in Education: A Systematic Literature Review Approach,R. Roy; M. D. Babakerkhell; S. Mukherjee; D. Pal; S. Funilkul,10.1109/ACCESS.2023.3283273,2023,"A more interactive learning environment is made possible by the metaverse, a made-up world with vastly expanding digital spaces. The metaverse is a development in synchronous communication that enables many users to share different experiences. This study proposes a research framework for adopting metaverse in education. A systematic literature review using the PRISMA methodology identified seventy-three research papers on metaverse and education. Also, this research provided various applications, challenges, dominant themes of research, and future perspectives of a metaverse in education. The proposed framework discusses multiple drivers for adopting a metaverse in education. There are few papers in the metaverse for education, so this research tries to fill the gap. This research also proposed twenty-seven future research questions which can addressed by future researchers. This research will benefit students and teachers across universities/ colleges and schools."
Co-Pilot for Project Managers: Developing a PDF-Driven AI Chatbot for Facilitating Project Management,K. Alam; M. Haq Bhuiyan; M. Shafiqul Islam; A. Hossain Chowdhury; Z. Ahmed Bhuiyan; S. Ahmmed,10.1109/ACCESS.2025.3548519,2025,"Our AI-driven PDF Chatbot is specialized for Project Management (PM) Automation and acts as a virtual Project Manager that offers continuous support to global teams. It interprets PDF data like SRS reports and interview transcripts by utilizing Open-Assistant’s SFT-1 12B Model. Insights from interviews of 15 project managers have enriched the knowledge base of our chatbot and ultimately enabled informative responses to the stakeholders of the project. Advanced AI techniques ensure efficient text preprocessing, including tokenization, numerical normalization, lowercasing, removing punctuation, removing extra spaces, recursive character text splitter, and lemmatization. It is primarily tailored for e-commerce project and provides precise guidance based on e-commerce data and risk management factors. With an average cosine similarity of 80.80% and semantic similarity score of 85.21%, it consistently aligns with PDF Contents and optimize the project management phases & methodologies. This innovation enhances Human-Robot Interaction, PM Automation, facilitates decision-making, and enables uninterrupted communication. While AI-driven PDF chatbots like ChatPDF and SciSummary exist, our chatbot is uniquely focused on automating project management tasks, providing tailored insights for e-commerce projects and decision-making, thus offering a breakthrough in PM automation. To ensure the chatbot’s robustness in context-aware responds, we compare our chatbot with ChatPDF and Sci-summary which are some PDF driven chatbots. Making our work available open-source on https://github.com/codewithkhurshed/SPM-project-repo can enhance its accessibility and promote future research opportunities in PDF driven chatbot development."
"The Generative AI Landscape in Education: Mapping the Terrain of Opportunities, Challenges, and Student Perception",Z. Ahmed; S. S. Shanto; M. H. K. Rime; M. K. Morol; N. Fahad; M. J. Hossen; M. Abdullah-Al-Jubair,10.1109/ACCESS.2024.3461874,2024,"Generative AI (GAI) technologies like ChatGPT are permanently changing academic education. Their integration opens up vast opportunities for bespoke learning and better student interaction but also brings about academic honesty issues and the application of real-life educators. This study aims to fill the literature gap regarding the use of multiple GAI tools and their effect on academic outcomes via a comprehensive review. A systematic literature review was performed following PRISMA guidelines to synthesize results on the potential and drawbacks of GAI in educational domains. We included theoretical and empirical papers that used qualitative, quantitative, or mixed-methods study designs. We have also explored conceptual frameworks and the most creative AI applications with a special emphasis on uniqueness and practicability. Experiences, and Perceptions Concerning To compile the information needed we gathered insights into what students were going through by conducting the survey which contains 200 respondents of undergraduate university students gathering insights into the college students’ experiences and perceptions related to GAI used for educational purposes. At the basic level, GAI comprises areas like personalization, task automation, teacher assistance, and efficiency among others, and respective solutions for the immersion of a learner in learning processes to reform directions. However, it generates plenty of challenges such as the question of assessment integrity, the risk that too much automated grading could overwhelm educational value, and relevantly the veracity of AI-generated content as well as the potential disruption to skills like critical thinking, in addition to data privacy and ethical issues. Student Perception Survey the text also indicates that most students, as per the student perception survey found AI systems useful in academic support. However, they also know the other side of the coin and are very familiar with the technology constraints and challenges."
Evaluating the Inclusiveness of Artificial Intelligence Software in Enhancing Project Management Efficiency – A review and examples of quantitative measurement methods,V. Alevizos; I. Georgousis; A. Simasiku; A. Messinis; S. Karypidou; D. Malliarou,10.1109/ACDSA59508.2024.10467463,2024,"The escalating integration of Artificial Intelligence (AI) in various domains, especially Project Management (PM), has brought to light the imperative need for inclusivity in AI systems. This paper investigates the role of AI software in augmenting both the inclusiveness and efficiency within the realm of PM. The research pivots around specific criteria that define and measure the inclusiveness of AI in PM, highlighting how AI, when developed with inclusiveness in mind, can significantly enhance project outcomes. However, there are inherent challenges in achieving this inclusiveness, primarily due to biases embedded in AI learning databases and the design and development processes of AI systems. The study offers a comprehensive examination of AI's potential to revolutionize PM by enabling managers to concentrate more on people-centric aspects of their work. This is achieved through AI’s ability to perform tasks such as data collection, reporting, and predictive analysis more consistently and efficiently than human counterparts. However, the incorporation of AI in PM extends beyond mere efficiency; it represents a paradigm shift in the epistemology of PM, calling for a deeper understanding of AI's role and impact on society. Despite these advantages, the adoption of AI comes with significant challenges, particularly in terms of bias and inclusiveness. Biased AI learning databases, which use shared and reusable datasets, often perpetuate initially discriminatory algorithms. Moreover, unconscious biases and stereotypes of AI designers, developers, and trainers can inadvertently influence the behavior of the AI systems they create. This necessitates a paradigmatic shift in how AI systems are developed and governed to ensure they do not replicate or exacerbate existing social inequalities. The research proposes a methodological approach involving the development of criteria for inclusion and exclusion, alongside data extraction, to evaluate the inclusiveness and efficiency of AI software in enhancing PM. This approach is crucial for understanding and addressing the challenges and limitations of AI in the context of PM. By focusing on inclusiveness, the study underscores the importance of a synergy between technological advancement and ethical consideration, demanding a comprehensive understanding and regulation to mitigate risks and maximize benefits. In conclusion, this paper presents a detailed exploration of AI’s role in PM highlighting both its potential benefits and the ethical challenges it poses. The findings and recommendations of this study contribute to the growing discourse on the need for inclusive AI systems in PM, offering insights for AI developers and Project Managers (PMs) alike."
An Empirical Review of Supervised and Reinforcement Learning Algorithms for Personalized Exoskeleton Robot Training Systems in Neurorehabilitation,S. Narula; R. S. Pol; R. V. Patil,10.1109/ICACRS62842.2024.10841642,2024,"There is an increasing need for developing more personalized machine learning algorithms for the training system of exoskeleton robots that are in use for the purpose of human neurorehabilitation patients. With increased neurological disorders, demand for effective and individually tailored rehabilitation solutions parallels. Traditional methods of rehabilitation are inadequate to keep up with the adjustment of treatment based on the needs of a patient that may result in very poor recuperation results. Current reviews on the applicability of machine learning in neurorehabilitation rarely fully consider the needs and complexities involved in the design of personalized exoskeleton training systems. There are several major limitations in the literature reviews: very often, they do not consider the possibility of integrating machine learning personalization into the processes of exoskeleton training; besides, in most cases, they lack a methodical way to compare algorithm effectiveness in various patient profiles; lastly, they do not give an adequate meta-analysis of the strong and weak points for the existing methodologies. These gaps impede the construction of more effective and more individualized rehabilitation programs. In this respect, the systematic review that will be presented herein will involve a systematic literature review, meta-analysis, and critical appraisal following machine learning algorithms specific for exoskeleton robot training systems. The methods include a systematic literature review by searching, categorizing, and the relevant studies; then meta-analysis is carried out based on the data gathered to give a quantitative assessment of the performance and effectiveness of these algorithms. This review is guided by the PRISMA guidelines for rigorous and transparent reporting. Furthermore, a critical appraisal framework enhances the review so that strengths and weaknesses of the many different machine learning techniques—from supervised learning to reinforcement learning and deep learning models—may be identified and appraised. This review process aims at the following: it outlines procedures for a systematic and comprehensive assessment of personalized ML algorithms and responses to major shortcomings, and as such, identifies new ideas, methods, and solutions potentially useful for further research. The purpose of this work is to follow on the existing constraints systematically and provide an in-depth understanding of the performance of the various algorithms to fully enhance the development on personalized neurorehabilitation solutions. This reviewer's contribution will thus have an effect on improved patient outcomes, optimize rehabilitation processes, and chart a course for future research toward ever more effective and personalized exoskeleton training systems"
"Systematic Literature Review of Software Effort Estimation : Research Trends, Methods, and Datasets",Hariyanto; A. Marjuni; N. Rijati; Z. A. Hasibuan,10.1109/iSemantic63362.2024.10762707,2024,"Without sufficient effort, the development of a software project will be hindered and may even significantly fail, thus jeopardizing the quality of the software developers. Therefore, Software Effort Estimation (SEE) is a crucial activity in software engineering. One of the most important tasks in software engineering is software effort estimation (SEE). SEE has been the subject of several investigations, which have produced a substantial body of new literature quickly. Determining the primary research topics is essential to get a thorough grasp of the frameworks and trends in Software Effort Estimation (SEE) research today. A systematic literature review (SLR) was utilized in this study as an all-encompassing method to identify and examine every significant research issue in this field. Three research topics were identified from 58 journals, including algorithmic techniques, machine learning implementation, and dataset analysis. The algorithmic techniques and machine learning approaches are the most frequently discussed topics."
Post-Covid-19 Pandemic IT Project Management Skills and Challenges,L. Ali; N. Taleb; A. Ali; I. A. Abu-AlSondos; H. Naseem; F. Yousaf; M. Abdelhakim,10.1109/ICBATS57792.2023.10111320,2023,"Since December 2019, the COVID-19 pandemic has harmed social, financial, and work life. The novel coronavirus has caused problems in all business sectors, including Information Technology(IT). Many Projects have been stopped or delayed due to the impact of this pandemic. Most of the companies recognized the importance of IT to achieve competitive advantage and to survive. Companies are investing a lot of money in IT projects. More than 60% of IT project fail. Lack of professional IT project management is one of the main reasons for that fail. Managing IT projects is a complex problem. Crises such as COVID 19 and uncertainty are increasing the complexity and challenges in IT projects management. This paper investigates what are the IT project management Key success factors required during and after the Pandemic. Secondary data were collected from literature review in the field of IT project management. an online questionnaire was used to collect the primary data from 107 IT firms. 323 respondents were participated. It is concluded that the following Key success factors are required: e-communication, centralization of data, online project monitoring, designing new policies and guidelines for incorporating new work culture, gaining and establishing project risk management exercises, especially cybersecurity and data protection by gaining access to the latest tools, establishing a culture for strict usage of Personal Protective Equipment (PPEs) to help project managers complete projects safely, and top management support."
Time-Series Large Language Models: A Systematic Review of State-of-the-Art,S. Abdullahi; K. Usman Danyaro; A. Zakari; I. Abdul Aziz; N. Amila Wan Abdullah Zawawi; S. Adamu,10.1109/ACCESS.2025.3535782,2025,"Large Language Models (LLMs) have transformed Natural Language Processing (NLP) and Software Engineering by fostering innovation, streamlining processes, and enabling data-driven decision-making. Recently, the adoption of LLMs in time-series analysis has catalyzed the emergence of time-series LLMs, a rapidly evolving research area. Existing reviews provide foundational insights into time-series LLMs but lack a comprehensive examination of recent advancements and do not adequately address critical challenges in this domain. This Systematic Literature Review (SLR) bridges these gaps by analysing state-of-the-art contributions in time-series LLMs, focusing on architectural innovations, tokenisation strategies, tasks, datasets, evaluation metrics, and unresolved challenges. Using a rigorous methodology based on PRISMA guidelines, over 700 studies from 2020 to 2024 were reviewed, with 59 relevant studies selected from journals, conferences, and workshops. Key findings reveal advancements in architectures and novel tokenization strategies tailored for temporal data. Forecasting dominates the identified tasks with 79.66% of the selected studies, while classification and anomaly detection remain underexplored. Furthermore, the analysis reveals a strong reliance on datasets from the energy and transportation domains, highlighting the need for more diverse datasets. Despite these advancements, significant challenges persist, including tokenization inefficiencies, prediction hallucinations, and difficulties in modelling long-term dependencies. These issues hinder the robustness, scalability, and adaptability of time-series LLMs across diverse applications. To address these challenges, this SLR outlines a research roadmap emphasizing the improvement of tokenization methods, the development of mechanisms for capturing long-term dependencies, the mitigation of hallucination effects, and the design of scalable, interpretable models for diverse time-series tasks."
Searching for Malware Dataset: a Systematic Literature Review,L. M. Zagi; B. Aziz,10.1109/ICITSI50517.2020.9264929,2020,"Malware is one of the exciting topics widely discussed by both academicians and researchers, but the source list of malware rarely provided. Therefore, this paper aims to write a Systematic Literature Review (SLR) to find which datasets are commonly used by previous researchers. The three journal databases were used in this study, including IEEE, science direct, and ACM. The PRISMA statement was applied to maintain transparency during the literature review. To facilitate the search, the authors also provide limitations during the SLR process (inclusion and exclusion). The inclusion includes: (1) full article fully written in English; (2) peer-reviewed papers; (3) explicitly mentioning the name of dataset or database; and (4) explicitly mentioning the method to find malware characteristics and behavior. While the exclusion consists of: (1) articles written before 2015; (2) book and white paper; (3) article already indexed in another database journal; and (4) paper which is less than four pages. After both filter processes, there are 42 out of 245 articles eligible to answer the stated research question (RQ), which were: (1) where does the researcher usually find the malware database or dataset?; (2) what kind of methods applied by previous researchers to find the malware's characteristics or behavior?; and (3) which platforms that malware usually attacks are? Based on the three RQs, we could conclude that RQ1 recorded for 37 datasets, RQ2 recorded for 47 methods, and RQ3 recorded for six platforms."
Motor Imagery Signal Classification Using Adversarial Learning: A Systematic Literature Review,S. Mishra; O. Mahmudi; A. Jalali,10.1109/ACCESS.2024.3421569,2024,"This paper presents a comprehensive Systematic Literature Review (SLR) on the utilization of adversarial learning techniques in Motor Imagery (MI) signal classification, a key component for enhancing Brain-Computer Interface (BCI) systems. Adversarial learning has shown promise in overcoming the challenges posed by inter-subject variability and limited data, which traditional machine learning techniques often struggle with. By adhering to PRISMA guidelines, a meticulous search across multiple databases, including Scopus, Web of Science, IEEEXplore, PubMed, and ScienceDirect, was conducted, and relevant articles, published and indexed by April 2023, were rigorously selected and reviewed. In total 49 articles have been selected by following PRISMA among which 45 were shortlisted for review after quality check. Our findings highlight a substantial growth in the domain, particularly driven by research contributions from the Asian region, and identify four primary use cases of adversarial learning: data augmentation, domain adaptation, feature extraction, and artifact removal. Popular datasets such as BCI Competition IV’s 2a and 2b are frequently employed alongside advanced pre-processing techniques. Two main adversarial strategies, GAN and adversarial training, have been recognized for their effectiveness in various scenarios. The study reveals high accuracy levels in data augmentation and domain adaptation, demonstrating the potential of these techniques to enhance MI classification. In addition, this review critically examines publication trends, challenges in the field, and the reproducibility of research. The insights gained from this SLR aim to guide future researchers in selecting appropriate datasets, pre-processing methods, and adversarial techniques, ultimately aiding in the design of more robust and accurate BCI systems. This could have significant implications for improving the quality of life for individuals with motor impairments through enhanced practical applications of BCIs."
Code-Mixed Sentiment Analysis Using Machine Learning Approach – A Systematic Literature Review,C. Tho; H. L. H. S. Warnars; B. Soewito; F. L. Gaol,10.1109/ICICoS51170.2020.9299004,2020,"Code-mixed language is ubiquitous. Having been commonly practiced among bilingual communities, code-mixed language has emerged as a common language among social media users. Despite its popularity, the analysis of a code-mixed text is challenging as the text does not typically comply with the monolingual grammar. Therefore, the popularity of social media in the past ten years has raised wide attention to develop methods for analyzing code-mixed text such as extracting popularity sentiment from the text. Machine learning-based classifier such as Support Vector Machine, Naïve Bayes, Decision Tree, Logistic Regression have been widely used to analyze the sentiment. This paper intends to further explore machine learning classifiers, their performances, variables, and most common classifiers for the code-mixed sentiment analysis. Prisma Methodology was used in this paper, extracting 12 from 230 papers that met predefined required criteria, including publication year within the last 5 years. Our findings suggested that the most common classifiers found in the papers were Support Vector Machine, Naïve Bayes, and Logistic Regression. By using the accuracy and F1 as the performance measures, the Support Vector Machine exhibited a better performance compared to Naïve Bayes and Logistic Regression. Thus, this study supported the use of Support Vector Machine, Naïve Bayes and Logistic Regression as the main classifiers for the code-mixed sentiment analysis."
Beyond Automation: A Systematic Review of AI in Employee Recruitment,A. A. N. Eddy Supriyadinata Gorda; K. D. K. A. Wardani; I. G. N. W. H. Saputra,10.1109/ICSCC62041.2024.10690629,2024,"This systematic review delves into the realm of AI's integration within employee recruitment processes. Through bibliometric and content analyses, this study explores the development of research in the implementation of AI in employee recruitment and sheds light on its transformative potential and underlying challenges. A total of 24 related publications obtained using the PRISMA method from the Scopus Database were analyzed. The research findings indicate that the research in implementation of AI on employee recruitment has transformed over the time. The integrating AI into recruitment processes enhances the recruitment process through efficiency, decision-making, reduction of biases, and improvement in candidate experience. However, challenges such as concerns regarding technological complexities, ethical concerns, need for human oversight still need to be carefully addressed. This study provides in-depth insights into both the positive impacts and the barriers that must be navigated when adopting AI in employee recruitment. It highlights the importance of addressing technological and ethical challenges and suggests a hybrid approach that combines the strengths of AI with human expertise. Future research should focus on resolving these issues and exploring the unintended consequences of AI integration to align with strategic goals and ethical standards."
Identifying Abnormal Eating Behavior Patterns with Machine Learning for Early Detection of Eating Disorders: A Systematic Literature Review,K. A. Santoso; M. Maharani; S. Sidharta,10.1109/ICIMTech63123.2024.10780879,2024,"In the field of health, there are common diseases that can have adverse effects on the body and last a lifetime, one of which is eating disorders (ED), which is a mental illness with features of varying degrees related to eating behavior and body image. As such, prediction and early detection of eating disorders are critical to a patient's recovery. To date, machine learning has been implemented to predict and identify eating disorders using a variety of different models and datasets such as interviews/surveys, social media posts and observations. This paper is written according to the PRISMA 2020 guidelines, and aims to answer four research questions, which are Whether ML is an effective way to detect eating disorders, What scales and data types are utilized in the ML methods used to analyze the datasets, What factors should be considered in determining the ML method used, and Between social media and interview datasets, which dataset give more accuracy in predicting eating disorders. There are 30 papers that are material for analysis in the literature review. The results of the analysis indicate that the methods used by the researchers are random forest, support vector machine and logistic regression. In addition, the accuracy achieved by machine learning in predicting eating disorders is very promising and effective. This paper also concluded that ML models used on social media and interview/survey datasets have an almost identical accuracy"
The Application of Data Science at Original Equipment Manufacturers: A Literature Review,C. Haertel; V. Donat; D. Staegemann; C. Daase; M. Finkendei; K. Turowski,10.1109/ACCESS.2024.3444700,2024,"The role of data as a valuable resource has caused significant transformations in various areas of life. Data Science (DS) aims to extract knowledge from data and thus, has gained attraction from organizations aiming to optimize existing processes and uncover previously unknown potentials. DS can be beneficially integrated into the business processes of Original Equipment Manufacturers (OEMs). Therefore, in this study, a structured literature review is conducted to assess the current state-of-the-art of DS in OEMs, especially in the automotive industry and in procurement, offering valuable insights for both researchers and practitioners in DS and OEMs. Several financial, operative, and strategic potentials of DS in the context of OEMs are identified and described. Examples are operational cost reduction, supplier selection and evaluation, forecasts of product demand, and promoted collaboration between stakeholders. Nevertheless, the literature also suggests several challenges in the execution of DS projects. It was observed that OEMs face both technological and procedural obstacles in this area, including the lack of data-driven work culture, inappropriate systems, and deficits with data collection and integration. Mitigating these challenges will be valuable in improving the success rates of DS projects. Further measures to enrich the results of this article are provided. Due to the rapidly evolving character of DS, the application possibilities and challenges might change in the future."
E-Commerce Fraud Detection Based on Machine Learning Techniques: Systematic Literature Review,A. Mutemi; F. Bacao,10.26599/BDMA.2023.9020023,2024,"The e-commerce industry's rapid growth, accelerated by the COVID-19 pandemic, has led to an alarming increase in digital fraud and associated losses. To establish a healthy e-commerce ecosystem, robust cyber security and anti-fraud measures are crucial. However, research on fraud detection systems has struggled to keep pace due to limited real-world datasets. Advances in artificial intelligence, Machine Learning (ML), and cloud computing have revitalized research and applications in this domain. While ML and data mining techniques are popular in fraud detection, specific reviews focusing on their application in e-commerce platforms like eBay and Facebook are lacking depth. Existing reviews provide broad overviews but fail to grasp the intricacies of ML algorithms in the e-commerce context. To bridge this gap, our study conducts a systematic literature review using the Preferred Reporting Items for Systematic reviews and Meta-Analysis (PRISMA) methodology. We aim to explore the effectiveness of these techniques in fraud detection within digital marketplaces and the broader e-commerce landscape. Understanding the current state of the literature and emerging trends is crucial given the rising fraud incidents and associated costs. Through our investigation, we identify research opportunities and provide insights to industry stakeholders on key ML and data mining techniques for combating e-commerce fraud. Our paper examines the research on these techniques as published in the past decade. Employing the PRISMA approach, we conducted a content analysis of 101 publications, identifying research gaps, recent techniques, and highlighting the increasing utilization of artificial neural networks in fraud detection within the industry."
A Systematic Literature Review of Sentiment Analysis in The Malay Language and Its Approach,Z. A. Rahman; H. Sarirah Husin; B. A. Talip; A. H. Mustaffa,10.1109/IVIT62102.2024.10692587,2024,"Sentiment analysis attracts researchers to analyse people's feelings and emotions in written text and classify them as positive, negative, or neutral using natural language processing. Experts broadly apply it in social media analytics, web mining, data mining, and text analysis. Sentiment analysis studies have grown tremendously in research topics, primarily in English, while researchers have conducted limited studies in Malay sentiment analysis. Thus, this research aims to systematically review past studies in Malay sentiment analysis. The study is guided using Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) and combines several research designs. The study uses three notable databases: Web of Science, Science Direct, Scopus, and Google Scholar. There are three approaches most previous studies use in sentiment analysis, namely, lexicon-based sentiment analysis, machine learning, and hybrid approach. 54% use lexicon-based, while 29% implement machine learning, and the remaining about 17% apply a hybrid approach. This paper discusses Malay sentiment analysis and synthesis works of literature domain, data sources, and Malay languages in conjunction with several other language uses and sentiment approaches. In addition to the insights into Malay sentiment, the existing research trends and possible future research are emphasised."
Artificial Intelligence in Analyzing Medical Imaging in Detecting Cancers,M. J. C. Samonte; D. M. D. Antonio; E. J. P. Del Rosario; P. V. E. Contreras; L. H. Salvador; L. A. T. Ogaya,10.1109/ICSTE63875.2024.00038,2024,"Challenging to diagnose early on due to its nature of being our own cells; we likely only realize we have it when it gets bad. Artificial Intelligence is a trending field in computer science whose relevance is attributed to its ability to be a solution to almost every problem. Research is trying to implement Artificial Intelligence in diagnosing cancer from image samples of patients. Through the PRISMA protocol, we systematically obtained literature from 2018 until now for a systematic literature review. Various AI architectures and features are presented and discussed. We also examine the overall reception of research into the application of AI in clinical practices. The analysis and results of this paper are meant to serve as a basis for anyone deciding if AI would be reliable for clinical practice. Our results show that the AI models have enough capability to be a feasible solution to assist doctors in diagnosis, and many researchers show confidence in future applications of AI in the clinic. In our statistical analysis, even when their technique is different, the different implementations perform similarly to others, they have accuracies scores above 80 and they deviate similarly, except for SVM. The analysis and results of this paper are meant to serve as a basis for anyone deciding if AI would be reliable for clinical practice. Our results show that the AI models have enough capability to be a feasible solution to assist doctors for diagnosis, and many researchers show confidence in future applications of AI in the clinic."
Deep Learning for Detecting Building Defects,M. Mudabbiruddin; F. Imre; M. Amir; H. Perez,10.1109/SISY62279.2024.10737579,2024,"This review article identifies the deep learning methods for building defects detection, adapting an updated PRISMA guideline to ensure a rigorous and transparent review process. The review reveals that convolutional neural networks (CNNs) and their variations are the most popular in this field. By systematically identifying and categorizing the most relevant articles, we present a detailed taxonomy of the methods and applications. Additionally, the article explores current trends and discusses future directions, including advancements in real-time defect detection and the utilization of more diverse and comprehensive datasets."
Artificial Intelligence for Improved Maternal Healthcare: A Systematic Literature Review,M. Chemisto; T. J. Gutu; K. Kalinaki; D. Mwebesa Bosco; P. Egau; K. Fred; I. Tim Oloya; K. Rashid,10.1109/AFRICON55910.2023.10293674,2023,"The integration of artificial intelligence (AI) in maternal health is a promising avenue for improving pregnancy, early childhood, and postnatal care. This systematic review analyzed 31 articles retrieved from Web of Science, PubMed, and Scopus, which were classified using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) method and Mendeley referencing tool. Our interpretive study found that AI applications in maternal health can predict 48% of maternal complications using electronic medical records (EMR), 29% using medical images, 19% using genetic markers, and 4% using other medical features such as fetal heart rates and sensors. The accuracy of prematurity prediction using AI was 95.7%, while the XGBoost technique predicted neonatal mortality with 99.7% accuracy. The study underscores the potential benefits of AI in maternal healthcare and highlights the need for further research to improve maternal and child health outcomes, especially in resource-constrained sub-Saharan African regions where maternal mortality rates are significantly high."
