title,authors,doi,year,abstract,Normalized Title,Normalized Authors
the contribution of icts and digitalization to the energy transition  realities and opportunities for project management in colombia,G. -R. Yaqueline; R. C. Ruth Esperanza; R. U. Leonardo,10.1109/COLCOM59909.2023.10334277,2023,this paper describes the energy transition  et  paradigm  its dimensions  and the contribution of digitalization and information and communication technologies  ict  to increase the energy efficiency of energy systems  1  it starts from a literature review to establish theoretical links between these concepts  identify contemporary problems that evidence the need for et in the global context  and the contribution of ict use to the development of et  after synthesizing the strategies proposed to potentiate et at the global level  the normative progress and the profile of et projects in colombia are shown  in order to identify fields of potential use and ict application projects for et  finally  local alternatives for financing projects in this field are identified  as well as a set of opportunities for project management in the et era ,the contribution of icts and digitalization to the energy transition realities and opportunities for project management in colombia,cesperanzagleonardorrrruthuyaqueline
analyzing factors that influence offshore outsourcing decision of application maintenance,H. U. Rahman; M. Raza; P. Afsar; H. U. Khan; S. Nazir,10.1109/ACCESS.2020.3029501,2020,application maintenance consumes a considerable amount of an organization s time and resources each year  almost 60  of it budget is spent alone on application maintenance  the reason of offshore outsourcing of application maintenance is not only the reduction of maintenance cost but to free up the resources and to keep the focus on core products  offshore outsourcing is a common business strategy that is used by companies to achieve cost savings about 20 50  however  the decision making process of application maintenance is a complex phenomenon  it is based on a set of influencing factors  clients  requirements and nature of the project  hence  the current study is aimed at the in depth investigation of the complex sourcing decision process of application maintenance  accordingly  a systematic literature review is performed to determine the influencing factors and critical success factors that will be used by the decision makers for the evaluation of projects before making the outsourcing decisions  a total of 15 influencing factors out of 52 selected papers were identified  based on the defined criteria  amongst the identified factors  only 10 factors were ranked as critical success factors  which are employees  skills  cost  legal requirements  infrastructure  communication  knowledge transfer  maturity level  project management  language barrier and frequent requirements changes  consequently  a sourcing model was proposed based on the identified critical success factors that help the it managers and domain experts in making appropriate outsourcing decisions ,analyzing factors that influence offshore outsourcing decision of application maintenance,afsarhhkhanmnazirprahmanrazasuu
construction project management using natural language processing technology,M. Balasubramani; M. R. Palav; K. T. V. Rao; R. Maranan; A. R. Salve; R. A. M,10.1109/IC3I59117.2023.10397999,2023,the effectiveness of the structure business is generally because of innovative headways  utilizing an intelligent thought of natural language processing innovation  this study expects to determine correspondence cooperation issues to foster a stage for project management  this paper looks at the review and execution of natural language processing  nlp  innovation in the management of construction projects  determined to resolve issues like the developing size and volume of construction projects and records  the intrinsic trouble and intricacy of their management  the tedious and blunder inclined nature of manual resemblance and acceptance  and the absence of mastery among experts to give complete  opportune  and precise conferences  the most predominant issues in design can be tended to by changing over unstructured reports into organized data ,construction project management using natural language processing technology,aabalasubramanikmmmmarananpalavrrrrraosalvetv
stoppage to the implementation of internet of things  iot  in construction projects  from lens of civil engineers in the united kingdom,N. Zainordin; S. Salleh; N. Farsana; S. L. Khoo; A. F. Omar; P. D. Heka Ardana,10.1109/AiDAS63860.2024.10730249,2024,this research intends to examines the barriers faced by civil engineers in the united kingdom when implementing internet of things  iot  technology in construction projects  the study aims to identify and analyze the barriers to iot integration  and provide valuable recommendations  the research methodology includes a systematic literature review  slr  to explore existing research  a survey conducted via mentimeter to gather opinions from professionals  and analysis using the relative importance index  rii  method  the comprehensive literature review acknowledges the advantages of iot technology while also recognizing subjective aspects  the survey  targeting 680 professionals  however  only 10  will come back as respond on identification of barriers to the implementation of internet of things  iot  in construction projects an insights from civil engineers in the united kingdom  the primary findings highlight the importance of overcoming barriers such as lack of knowledge  shortage of skilled labor  management challenges  and reliance on technology  there are 20 items of barriers has been identified from this study  by comparing the slr and survey findings  a comprehensive understanding of the barriers is provided  the study also underscores the value of quantitative research techniques for gaining deeper insights and explores the potential of alternative survey platforms  these conclusions serve as a foundation for further research in this evolving field and contribute to deeper understanding of iot adoption in the construction industry from civil engineers in the united kingdom perspectives ,stoppage to the implementation of internet of things iot in construction projects from lens of civil engineers in the united kingdom,aardanadffarsanahekakhoolnnomarpsssallehzainordin
a novel lstm based approach to pert analysis in construction project management,D. K. K; S. P. S; K. P; S. G. G,10.1109/ICAIT61638.2024.10690559,2024,in order to anticipate optimistic  o  pessimistic  p  and most likely  m  values  this research study introduces a novel technique to pert  project evaluation and review technique  analysis in construction projects using long short term memory  lstm  models  recurrent neural networks  rnns  of the long short term memory  lstm  variety are highly proficient in processing sequential input  which makes them perfect for modeling the intricate temporal connections present in building projects  for construction projects to be completed successfully  precise cost and schedule estimation is essential  the study focuses on project cost and schedule forecasting using lstm  which is a crucial part of pert analysis  because the lstm model can capture the long term dependencies in project data  it can yield predictions that are more reliable and accurate than those produced by traditional statistical techniques  this research improves the field by demonstrating how lstm may enhance project planning and management and offer a more sophisticated tool for decision making in construction projects  this study provides a potential direction for further investigation and implementation by highlighting the significance of incorporating cutting edge machine learning algorithms into sustainable construction project management ,a novel lstmbased approach to pert analysis in construction project management,dggkkkppsss
the effect of virtual reality and augmented reality on managing projects,D. M. E. Khatib; F. Al Falasi; H. A. Anani; W. Shurrab,10.1109/ICBATS57792.2023.10111112,2023,this report highlights how digital disruption and transformation have affected project management  amazon was selected as the organization  and project management was chosen as the industry  primary research based open end interviews with thirty project managers and secondary research based on a review of past literature were conducted to perform this study  it was found that digital disruption has occurred in the project management industry  which has modified the behaviors  needs  and expectations of people in society  the market  and the industry  it was found that virtual reality  vr  and augmented reality  ar  has disrupted the project management industry  the ar caused a shift in the consumer  sponsor client  wants in the project management industry  customer derives the demand want from  therefore the businesses and their competitors  activities are modified to adapt the ar and vr based technologies  ar and vr reduced the project managers  efforts  time  and resources  moreover  the metaverse is another technology that will cause significant digital disruption and digital transformation in the project management industry ,the effect of virtual reality and augmented reality on managing projects,aalananideffalasihkhatibmshurrabw
computer artificial intelligence technology in cad industrial drafting and design platform system  a review,Q. Yonghong; O. H. Hassan; S. Z. Abidin; A. B. M. Hashim,10.1109/ICDSCA59871.2023.10393041,2023,this paper discusses how a 3d drafting system is developed to accommodate complex human machine interface characteristics  an object oriented multi level structured test case design method is proposed  an oracle based distributed project management database is constructed  a new 3d cad surface model search method is given  a 3d cad surface model retrieval algorithm based on distance curvature shape distribution is proposed  the method can effectively solve the collaboration problem of multiple parallel programs  the designed software platform is proved to be complete  scalable and open through practical applications  finally  it can effectively achieve human to human collaboration and resource sharing ,computer artificial intelligence technology in cad industrial drafting and design platform system a review,aabidinbhhashimhassanmoqsyonghongz
a summary of using reinforcement learning strategies for treating project and production management problems,G. Koulinas; A. Xanthopoulos; A. Kiatipis; D. Koulouriotis,10.1109/ICDIM.2018.8847099,2018,recently  reinforcement learning  rl  strategies have attracted researchers  interest as a powerful approach for effective treating important problems in the field of production and project management  generally  rl are autonomous machine learning algorithms that include a learning process that interacts with the problem  which is under study in order to search for good quality solutions in reasonable time  at each decision point of the algorithm  the current state of the problem is revised and decisions about the future of the searching strategy are taken  the objective of this work is to summarize  in brief  recently proposed studies using reinforcement learning strategies for solving project scheduling problems and production scheduling problems  as well  based on the review  we suggest directions for future research about approaches that can be proved interesting in practice ,a summary of using reinforcement learning strategies for treating project and production management problems,aadgkiatipiskoulinaskoulouriotisxanthopoulos
fusion of computer technology and intelligent logic analysis algorithm in construction engineering cost management,L. Xuan; J. Li,10.1109/ICSCDS53736.2022.9760789,2022,this paper studies the integration of computer technology and intelligent logic analysis algorithms in construction project cost management  first  it analyzes its application in construction project cost management in detail  one is to speed up the pace of the calculation of construction project cost  the other is to be objective fair  accurate  and real time reflection of the construction project cost investment review system  third is to improve the accuracy of the calculation of the construction cost  fourth is to improve the efficiency of calculating the bill of quantities  the fifth is to speed up the pace of construction and bidding work  facilitate the sharing of construction project cost information resources and other six aspects  the application of intelligent logic algorithm is studied  and the construction cost estimation based on artificial intelligence technology is studied ,fusion of computer technology and intelligent logic analysis algorithm in construction engineering cost management,jllixuan
competency model for programming courses in information technology education  ite  programs from industry perspective  a delphi method,J. E. E. Goh; C. V. Mojado; H. J. T. Manaligod,10.1109/HNICEM57413.2022.10109471,2022,this study aimed to develop a competency model for software development courses in ite programs as perceived by the it industry in the philippines in the new normal  a review of previous studies revealed existing software engineering competency models being referenced by the it industry along with the commission on higher education  ched  general education curriculum  gec  being referenced by the academe  however  things drastically changed during this global pandemic which may have affected these current standards  thus  this study aimed to determine the current competency needs in the it industry in the new normal in relation to the programming courses being offered by the ite programs in the philippines  a mixed method three round delphi technique was used to solicit a unified expert opinion from the point of view of nine  9  it industry experts in the philippines  twenty three  23  technical skills and eleven  11  soft skills were extracted from online interviews using thematic analysis  out of 23 technical skills  nineteen  19  have consensus  the findings produced a competency model for software development courses in the new normal consisting of must have technical skills  game changer technical skills  and must have soft skills  the must have technical skills include web development  cyber security  cloud computing  agile project management  mobile development  and devops  the game changer technical skills include data science and data analytics  artificial intelligence and machine learning  the internet of things  and research and development  and the must have soft skills include communication skills  results oriented  and collaboration skills ,competency model for programming courses in information technology education ite programs from industry perspective a delphi method,ceegohhjjmanaligodmojadotv
software development methodologies  analysis and classification,D. A. Gurianov; K. S. Myshenkov; V. I. Terekhov,10.1109/REEPE57272.2023.10086852,2023,this paper discusses software development life cycle models and development methodologies created on their basis  the place of methodologies and their role in the software development management process is determined  the differences and relationships between them are identified  as well as the degree of influence on the success of the project  a review of the criteria for comparing software development methodologies has been carried out  the existing methods of single criteria and two criteria classification of methodologies are analyzed  and their shortcomings are identified  new methods of single criteria classification that eliminate the identified shortcomings are presented  a new multi criteria classification based on four criteria has been developed  offering a more complete and broader hierarchical distribution of life cycle models and software development methodologies  existing methods for selecting a software development methodology are considered  as well as an own method based on a retrospective analysis and machine learning methods presented  improving methods of choosing a methodology is imperative to achieve the targets of sustainable development goals  sdgs  goal 9 ,software development methodologies analysis and classification,adgurianovikmyshenkovsterekhovv
semantic ontologies for complex healthcare structures  a scoping review,A. Luschi; C. Petraccone; G. Fico; L. Pecchia; E. Iadanza,10.1109/ACCESS.2023.3248969,2023,the healthcare environment is made up of highly complicated interactions between many technologies  activities  and people  ensuring a solid communication between them is vital to ease the healthcare management  semantic ontologies are knowledge representation tools that implement abstractions to fully describe a given topic in terms of subjects and relations  this scoping review aims to identify and analyse available ontologies which can depict all the available use cases that describe the hospital environment in relation to the european project odin and its future expansion  the review has been conducted on the scopus database on january 13th  2023 using the prisma extensions for scoping reviews  two reviewers screened 3 225 documents emerged from the database search  further filtering led to a final set of 32 articles to be analysed for the results  a set of 34 ontologies extracted by the identified articles has been analysed and discussed as well  the results of this study will lead to the implementation of a common integrated ontology which could hold information about healthcare entities as well as their semantic relationships  strengthen data exchange and interconnections among people  devices and applications in an expanded scenario which include internet of things  robots and artificial intelligence ,semantic ontologies for complex healthcare structures a scoping review,aceficogiadanzalluschipecchiapetraccone
the advancing role of digitalisation through the example of the perlmutter project from the user side,Á. Csiszráaik-Kocsir; J. Varga,10.1109/SACI58269.2023.10158552,2023,the events of recent years have shed new light on the crisis and change management practices of economic actors  it has been a truism that actors who are more receptive to change can be more successful and efficient than their peers in business markets  perhaps the most significant changes in recent years have confirmed this even more  one only has to think of the impact of pandemic covid 19  the energy crisis or the russian ukrainian conflict  in a very short period of time  these events have brought about very significant changes and their impact has been largely negative for most economic actors  if it has not been sufficiently understood so far why it can be important to adapt to changes in a timely and appropriate way  or why good crisis management practices can be important  perhaps everyone will now  meanwhile  other trends are shaping the global economy and will have an impact on the future state of the economy and society  examples include sustainability  or the green transition  and digitalisation  two global changes that will certainly have a long term impact on society and business processes  no one can afford the luxury of ignoring these changes  what is more  the most competitive economic players are seeking to turn them to their advantage and to reap the benefits of sustainability or digitalisation  it is clear that our world has become faster and more complex than ever before  more and more things are changing around us  with ever more intense consequences  we need to recognise in time how we can respond to changing environmental conditions or circumstances  this is the subject of the present paper  which  after a brief literature review  draws on research findings to illustrate the importance and relevance of digitalisation ,the advancing role of digitalisation through the example of the perlmutter project from the user side,csiszraikkocsirjvarga
critical factors affecting fast track construction management for infrastructure projects  validated scale development and k means clustering algorithms insights,J. A. Lising; D. L. Silva,10.1109/ICMSS61211.2024.00028,2024,the fast track project concept has become crucial in today s competitive business landscape  driven by escalating market demands  this research aims to pinpoint success determining factors in such projects  a quest initiated through an extensive literature review and further explored via structured interviews and questionnaires  this study unfolds in multiple phases  beginning with interviews of five experts with over 25 years of experience validating 10 critical factors  planning  scheduling  customer commitment  communication  risk management  technology adoption  project skills  material management  activity breakdown  and leadership  subsequent phases involve quantitative approaches  including a survey with 125 respondents  predominantly filipino professionals with substantial construction experience  and a follow up phase with 200 filipino respondents  these phases leverage principal component and confirmatory factor analysis  alongside machine learning techniques like k means clustering  to analyze each success factor s significance and perception variations  the analysis found high component loadings above 0 6 for critical success factors  confirmed by cronbach s alpha values within the acceptable range of 0 6 to 0 8  but faced challenges in model fit  indicated by mixed results in confirmatory factor analysis with communalities below 0 4 and inconsistent appropriate indices  the paper also looks into the application of the k means clustering algorithm  finally  it lays the groundwork for future research  emphasizing the need for diverse  experienced perspectives in understanding fast track project dynamics ,critical factors affecting fasttrack construction management for infrastructure projects validated scale development and kmeans clustering algorithms insights,adjllisingsilva
knowledge management in construction quality management  current state  challenges  and future directions,X. Xiahou; G. Chen; Z. Li; X. Xu; Q. Li,10.1109/TEM.2025.3550354,2025,construction quality management  cqm  as one of the major activities in construction project management  relies heavily on knowledge  unfortunately  the knowledge of cqm is diverse in format and scattered in different stakeholders within the whole construction processes  therefore  knowledge management  km  of cqm is underinvestigated  to offering a comprehensive view of km in cqm  this article employed a mixed review method to critically review 87 related articles  the results indicate 1  building information modeling  ontology  and natural language processing are identified as critical technologies in km  2  expert system and decision support  structural health monitoring  and project management are the major application domains  this article conducts an in depth analysis of the literature based on the three phases of quality control  pre construction  in construction  and post construction  the results are discussed to critically assess the critical technologies in km  a framework is proposed to guide the effective implementation of km in cqm  alongside a discussion of the current challenges and opportunities  the article further identifies potential development directions for km in cqm  including total quality management  digital twins  development of large language models  construction of  no cost  km platforms  uniform evaluation and standardization mechanisms  tacit knowledge capture  and confidentiality and security  a novel paradigm for knowledge driven quality management decision making is first introduced  this article offers a comprehensive perspective on the application of km in cqm  which will significantly enhance the effectiveness of cqm implementation in the future ,knowledge management in construction quality management current state challenges and future directions,chengliliqxxxiahouxuz
a study on  blockchain enabled digital twins  the next wave of industrial transformation with future research challenges ,S. K. Dwivedi; M. S. Obaidat; M. Mittal; N. Ranjan; H. Tyagi; R. Amin; K. -F. Hsiao,10.1109/CITS61189.2024.10608017,2024,a new era of creativity  efficiency  and optimisation has emerged across a number of industrial sectors with the introduction of digital twin technologies  to enhance their capabilities  digital twins are frequently combined with cutting edge technologies like blockchain  artificial intelligence  ai  and the internet of things  iot  this paper summarises and evaluates the present status of research and applications of blockchain enabled digital twins in the context of industrial sectors  this review highlights the benefits of blockchain based digital twins in the different industrial domains such as production manufacturing  product data management  construction project management and  healthcare  furthermore  the paper addresses the challenges and future directions of digital twin adoption in industries  discussing interoperability  data security  and the need for standardized frameworks ,a study on blockchainenabled digital twins the next wave of industrial transformation with future research challenges,amindwivedifhhsiaokkmmmittalnobaidatrranjansstyagi
a review on software project management ontologies,"Iatrellis, Omiros; Fitsilis, Panos",10.4018/IJITPM.2018100104,2018,this article aims to provide the reader with a comprehensive background for understanding current knowledge and research works on ontologies for software project management  spm  it constitutes a systematic literature review behind key objectives of the potential adoption of ontologies in pm  ontology development and engineering could facilitate substantially the software development process and improve knowledge management  software and artifacts reusability  internal consistency within project management processes of various phases of software life cycle  the authors examined the literature focusing on software project management ontologies and analyzed the findings of these published papers and categorized them accordingly  they used qualitative methods to evaluate and interpret findings of the collected studies  the literature review  among others  has highlighted lack of standardization in terminology and concepts  lack of systematic domain modeling and use of ontologies mainly in prototype ontology systems that address rather limited aspects of software project management processes ,a review on software project management ontologies,fitsilisiatrellisomirospanos
software project management using machine learning technique a review,"Mahdi, Mohammed Najah; Mohamed Zabil, Mohd Hazli; Ahmad, Abdul Rahim; Ismail, Roslan; Yusoff, Yunus; Cheng, Lim Kok; Azmi, Muhammad Sufyian Bin Mohd; Natiq, Hayder; Happala Naidu, Hushalini",10.3390/app11115183,2021,project management planning and assessment are of great significance in project performance activities  without a realistic and logical plan  it isn t easy to handle project management efficiently  this paper presents a wide ranging comprehensive review of papers on the application of machine learning in software project management  besides  this paper presents an extensive literature analysis of  1  machine learning   2  software project management  and  3  techniques from three main libraries  web science  science directs  and ieee explore  one hundred and eleven papers are divided into four categories in these three repositories  the first category contains research and survey papers on software project management  the second category includes papers that are based on machine learning methods and strategies utilized on projects  the third category encompasses studies on the phases and tests that are the parameters used in machine learning management and the final classes of the results from the study  contribution of studies in the production  and the promotion of machine learning project prediction  our contribution also offers a more comprehensive perspective and a context that would be important for potential work in project risk management  in conclusion  we have shown that project risk assessment by machine learning is more successful in minimizing the loss of the project  thereby increasing the likelihood of the project success  providing an alternative way to efficiently reduce the project failure probabilities  and increasing the output ratio for growth  and it also facilitates analysis on software fault prediction based on accuracy ,software project management using machine learning techniquea review,abdulahmadazmibinchenghappalahayderhazlihushaliniismailkoklimmahdimohamedmohammedmohdmohdmuhammadnaidunajahnatiqrahimroslansufyianyunusyusoffzabil
integrating artificial intelligence and analytics in smart grids  a systematic literature review,"Khosrojerdi, Farhad; Akhigbe, Okhaide; Gagnon, Stephane; Ramirez, Alex; Richards, Gregory",10.1108/IJESM-06-2020-0011,2022,purpose the purpose of this study is to explore the latest approaches in integrating artificial intelligence and analytics  aia  in energy smart grid projects  empirical results are synthesized to highlight their relevance from a technology and project management standpoint  identifying several lessons learned that can be used for planning highly integrated and automated smart grid projects  design methodology approach a systematic literature review leads to selecting 108 research articles dealing with smart grids and aia applications  keywords are based on the following research questions  what is the growth trend in smart grid projects using intelligent systems and data analytics  what business value is offered when ai based methods are applied  how do applications of intelligent systems combine with data analytics  what lessons can be learned for smart grid and aia projects  findings the 108 selected articles are classified according to the following four research issues in smart grids project management  aia integrated applications  ai focused technologies  analytics focused technologies  architecture and design methods  a broad set of smart grid functionality is reviewed  seeking to find commonality among several applications  including as follows  dynamic energy management  automation of extract  transform and load for supervisory control and data acquisition  scada  systems data  multi level representations of data  the relationship between the standard three phase transforms and modern data analytics  real time or short time voltage stability assessment  smart city architecture  home energy management system  building energy consumption  automated fault and disturbance analysis  and power quality control  originality value given the diversity of issues reviewed  a more capability focused research agenda is needed to further synthesize empirical findings for ai based smart grids  research may converge toward more focus on business rules systems  that may best support smart grid design  proof development  governance and effectiveness  these aia technologies must be further integrated with smart grid project management methodologies and enable a greater diversity of renewable and non renewable production sources ,integrating artificial intelligence and analytics in smart grids a systematic literature review,akhigbealexfarhadgagnongregorykhosrojerdiokhaideramirezrichardsstephane
the application of artificial intelligence in project management research  a review,"Gil Ruiz, Jesus; Martinez Torres, Javier; Gonzalez Crespo, Ruben",10.9781/ijimai.2020.12.003,2021,the field of artificial intelligence is currently experiencing relentless growth  with innumerable models emerging in the research and development phases across various fields  including science  finance  and engineering  in this work  the authors review a large number of learning techniques aimed at project management  the analysis is largely focused on hybrid systems  which present computational models of blended learning techniques  at present  these models are at a very early stage and major efforts in terms of development is required within the scientific community  in addition  we provide a classification of all the areas within project management and the learning techniques that are used in each  presenting a brief study of the different artificial intelligence techniques used today and the areas of project management in which agents are being applied  this work should serve as a starting point for researchers who wish to work in the exciting world of artificial intelligence in relation to project leadership and management ,the application of artificial intelligence in project management research a review,crespogilgonzalezjavierjesusmartinezrubenruiztorres
project portfolio management  a landscape of the literature,"Yamakawa, E.K.; Cauchick-Miguel, P.A.; Sousa-Zomer, T.T.; Killen, C.P.",,2019,project portfolio management  ppm  has a central position in both the business literature and companies management practices  although ppm has been practiced for decades and the theoretical contributions in the field have grown  overviews of the state of the art of ppm research and its processes are scarce  therefore  this paper analyses the ppm literature to identify relevant ppm concepts through a systematic literature review  this study analysed 470 articles  and the core ppm sub categories were identified  the main findings show that  in general  two or more ppm sub categories are collectively analysed in the publications  which indicates that there is a synergy among these sub categories  moreover  since the subject is somewhat broad  several tools have been developed to support the complex decision making problems involving optimisation  statistical techniques  stochastic simulations  and artificial intelligence  for practitioners  the findings of this study may provide a useful basis for ppm implementation ,project portfolio management a landscape of the literature,cauchickmiguelcpekkillenpasousazomerttyamakawa
is artificial intelligence an enabler of supply chain resiliency post covid 19  an exploratory state of the art review for future research,"Naz, Farheen; Kumar, Anil; Majumdar, Abhijit; Agrawal, Rohit",10.1007/s12063-021-00208-w,2022,the challenging situations and disruptions that occurred due to the outbreak of the covid 19 pandemic have created a severe need for supply chain resiliency  scr  there has been a growing interest among researchers to investigate the resiliency in supply chain operations to overcome risks and disruptions and to achieve successful project management  the supply chain of every business requires innovative projects to accomplish competitive advantage in the market  this study was conducted to identify the significance of artificial intelligence  ai  for creating a sustainable and resilient supply chain  and also to provide optimum solutions for supply chain risk mitigation  a systematic literature review has been conducted to examine the potential research contribution or directions in the field of ai and scr  in total  162 articles were shortlisted from the scopus database in the chosen field of research  structural topic modeling  stm  a big data based approach  was employed to generate several thematic topics of ai in scr based on the shortlisted articles  and all topics were discussed  furthermore  the bibliometric analysis was conducted using r package to investigate the research trends in the area of ai in scr  based on the conducted review of literature  a research framework was proposed for ai in scr that will facilitate researchers and practitioners to improve technological development in supply chain firms  the purpose is to combat sudden risks and disruptions so that project management will perform well post covid 19  the study will be also helpful for future researchers and practitioners to identify research directions based on existing literature covered in this paper in the field of scr  future research directions are proposed for ai enabled resilient supply chain management  this study will also provide several implications for supply chain managers to achieve the required resilience in their supply chains post covid 19 by focusing on the elements of the proposed research framework ,is artificial intelligence an enabler of supply chain resiliency post covid19 an exploratory stateoftheart review for future research,abhijitagrawalanilfarheenkumarmajumdarnazrohit
intelligent purchasing  how artificial intelligence can redefine the purchasing function,"Allal-Cherif, Oihab; Simon-Moya, Virginia; Cuenca Ballester, Antonio Carlos",10.1016/j.jbusres.2020.11.050,2021,artificial intelligence  ai  can affect all of a company s functions  not least the purchasing department  in addition to automating and optimizing existing processes  ai opens up new opportunities for purchasers to undertake new  strategic  collaborative  enduring missions  ai enables complex  strategic decision making in an unpredictable  hostile environment  this article analyzes to what extent ai can improve the performance of the purchasing department  first  a review is undertaken of how ai is used in purchasing  thereafter  the research follows an exploratory  inductive  and qualitative approach based on a multiple case study of the following technologies   1  the synertrade automated international purchasing system   2  the silex matching system   3  sap ariba decision support   4  jaggaer supplier relations management  and  5  the ideapoke collaborative ideation and innovative project management platform  the present study s contributions lie in its redefinition of the purchasing function  of the purchaser s role  of supplier relationship management policy  and of interdepartmental collaboration  involving  for example  marketing and r d ,intelligent purchasing how artificial intelligence can redefine the purchasing function,allalcherifantonioballestercarloscuencaoihabsimonmoyavirginia
ontological practice for software quality control,"Sarker, K.U.; Bin Deraman, A.; Hasan, R.",,2020,recent statistical report on software project has been reflected the significant software project failure rate is existed till now  failure can be partial  complete or compromising in functional or non functional factors  the ebspm public software project data repository has been analysed to reflect the relationship among cost  time  effective hours and functional points to identify eternal influencing factors  the literature review has identified the root causes of failure  software quality control is a formal approach to make the project successful but until now ambiguous with the integration of quality factors  our proposed ontology reduces the complexity of project management  this research has established the way of developing an ontology by including maximum quality factors  the way of collaborative working is included in the ontology to ensure formal  transparent  accountable and responsible manner  the ontology model is developed with descriptive logic and diagrams  theoretical evaluation has been done at the end of the research based on the criteria of standardisation organisations ,ontological practice for software quality control,abinderamanhasankursarker
productivity monitoring in building construction projects  a systematic review,"Alaloul, Wesam Salah; Alzubi, Khalid M.; Malkawi, Ahmad B.; Al Salaheen, Marsail; Musarat, Muhammad Ali",10.1108/ECAM-03-2021-0211,2022,purpose the unique nature of the construction sector makes it fall behind other sectors in terms of productivity  monitoring construction productivity is crucial for the construction project s success  current practices for construction productivity monitoring are time consuming  manned and error prone  although previous studies have been implemented toward reducing these limitations  a gap still exists in the automated monitoring of construction productivity  design methodology approach this study aims to investigate and assess the different techniques used for monitoring productivity in building construction projects  therefore  a mixed review methodology  bibliometric analysis and systematic review  was adopted  all the related publications were collected from different databases  which were further screened to get the most relevant based on the preferred reporting items for systematic review and meta analyses  prisma  criteria  findings a detailed review was performed  and it was found that traditional methods  computer vision based and photogrammetry are the most adopted data acquisition for productivity monitoring of building projects  respectively  machine learning algorithms  ann  svm  and bim were integrated with monitoring tools and technologies to enhance the automated monitoring performance in construction productivity  also  it was observed that current studies did not cover all the complex construction job sites and they were applied based on a small sample of construction workers and machines separately  originality value this review paper contributes to the literature on construction management by providing insight into different productivity monitoring techniques ,productivity monitoring in building construction projects a systematic review,ahmadalalaloulalialzubibkhalidmmalkawimarsailmuhammadmusaratsalahsalaheenwesam
drivers  barriers and social considerations for ai adoption in business and management  a tertiary study,"Cubric, Marija",10.1016/j.techsoc.2020.101257,2020,the number of academic papers in the area of artificial intelligence  ai  and its applications across business and management domains has risen significantly in the last decade  and that rise has been followed by an increase in the number of systematic literature reviews the aim of this study is to provide an overview of existing systematic reviews in this growing area of research and to synthesise the findings related to drivers  barriers and social implications of the ai adoption in business and management the methodology used for this tertiary study is based on kitchenham and charter s guidelines  14  resulting in a selection of 30 reviews published between 2005 and 2019 which are reporting results of 2021 primary studies these reviews cover the ai adoption across various business sectors  healthcare  information technology  energy  agriculture  apparel industry  engineering  smart cities  tourism and transport  management and business functions  hr  customer services  supply chain  health and safety  project management  decision support  systems management and technology adoption while the drivers for the ai adoption in these areas are mainly economic  the barriers are related to the technical aspects  e g  availability of data  reusability of models  as well as the social considerations such as  increased dependence on non humans  job security  lack of knowledge  safety  trust and lack of multiple stakeholders perspectives very few reviews outside of the healthcare management domain consider human  organisational and wider societal factors of the ai adoption in addition to increased focus on social implications of ai  the reviews are recommending more rigorous evaluation  increased use of hybrid solutions  ai and non ai  and multidisciplinary approach to ai design and evaluation furthermore  this study found that there is a lack of systematic reviews in some of the early ai adoption sectors such as financial industry and retail ,drivers barriers and social considerations for ai adoption in business and management a tertiary study,cubricmarija
novel approach to estimating schedule to completion in construction projects using sequence and nonsequence learning,"Cheng, Min-Yuan; Chang, Yu-Han; Korir, Dorcas",10.1061/(ASCE)CO.1943-7862.0001697,2019,estimate schedule to completion  estc  is a difficult variable to determine accurately during the various phases of construction projects due to the complex  uncertain  and limited nature of currently available information  currently  most construction managers estimate this variable using their subjective prior experience with budget planning  however  this method is costly and highly prone to inaccuracy  the study developed a novel inference model  the neural network long short term memory  nn lstm  model  to estimate estc accurately by factoring in the sequence and nonsequence factors that significantly influence project duration and that capture the inherent uncertainties in the construction field  nn lstm fuses two characteristics of artificial neural networks  anns  feedforward neural networks  fnns  for nonsequential issue  and recurrent neural networks  rnns  for sequential issue  after a systematic review of the literature  brainstorming  and in depth interviews with domain experts  a database of 226 historical cases collected from 11 construction projects with 14 influencing factors was created for learning purposes  with 10 fold cross validation used to partition the training and testing data sets  nn lstm was then applied to estimate the schedule to completion for the historical cases  with fnn capturing the impact of time independent factors on project duration and lstm capturing the long temporal dependency for sequential inputs  the learning results indicated good performance  with a mean absolute percentage error  mape  of less than 5  and a mean absolute error  mae  of 2  proving the nn lstm model to be more reliable than the currently prevailing earned value management  evm  formulas  moreover  in subsequent comparison testing nn lstm proved to be superior to other artificial intelligence  ai  prediction models  the model has the ability to generate reliable scheduling estimates for project managers in order to facilitate their accurate planning and the monitoring of the time performance of projects  allowing timely action to be taken to remedy foreseen delays and facilitating informed decision making ,novel approach to estimating schedule to completion in construction projects using sequence and nonsequence learning,changchengdorcaskorirminyuanyuhan
